"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"hg19-SVIL",8.31186168262966e-160,0.311438871339784,0.463,0.137,1.50378201562136e-155,"2","hg19-SVIL"
"hg19-NCOA4",6.08476407935108e-159,0.396611924996088,0.858,0.405,1.1008555172362e-154,"2","hg19-NCOA4"
"hg19-STAT3",4.21824389618104e-158,0.411217834226484,0.865,0.422,7.63164685697074e-154,"2","hg19-STAT3"
"hg19-STUB1",6.32570625238569e-158,0.490331486431821,0.982,0.802,1.14444677518162e-153,"2","hg19-STUB1"
"hg19-UQCRC2",9.80518642512084e-158,0.403092140306836,0.875,0.441,1.77395432803286e-153,"2","hg19-UQCRC2"
"hg19-HMOX1",1.72074649477378e-157,0.271603212083112,0.596,0.204,3.11317455834472e-153,"2","hg19-HMOX1"
"hg19-FTL1",5.9389069904052e-157,0.433842562239221,1,1,1.07446705270411e-152,"2","hg19-FTL"
"hg19-C12orf45",1.55837203291377e-155,0.251142926572042,0.566,0.187,2.81940668194759e-151,"2","hg19-C12orf45"
"hg19-GYPC",1.5171615045202e-154,0.58682120211957,0.957,0.733,2.74484859397795e-150,"2","hg19-GYPC"
"hg19-CCNG11",3.45483920617033e-154,0.448101521703449,0.958,0.573,6.25049509180336e-150,"2","hg19-CCNG1"
"hg19-GSTK11",5.70015515063563e-154,0.429062804485267,0.921,0.509,1.031272069853e-149,"2","hg19-GSTK1"
"hg19-PSMB51",1.0289195098181e-152,0.453314763496082,0.985,0.761,1.8615211771629e-148,"2","hg19-PSMB5"
"hg19-TBCA",1.50581339359098e-152,0.454516026645839,0.995,0.901,2.7243175916848e-148,"2","hg19-TBCA"
"hg19-KIF22",2.2353772630382e-152,0.309654728731097,0.641,0.24,4.04424454428871e-148,"2","hg19-KIF22"
"hg19-MVB12A",4.73583748998129e-152,0.318099247424712,0.736,0.3,8.56807718687415e-148,"2","hg19-MVB12A"
"hg19-PPP1CC1",1.72127578670079e-151,0.439952519216127,0.931,0.548,3.11413215329907e-147,"2","hg19-PPP1CC"
"hg19-SEMA3C",3.61327484613357e-151,0.320401575895052,0.788,0.341,6.53713685162485e-147,"2","hg19-SEMA3C"
"hg19-SLC6A8",3.71092672478097e-151,0.252693499793439,0.482,0.149,6.71380863047374e-147,"2","hg19-SLC6A8"
"hg19-HINT2",1.25124471066495e-150,0.387009506250875,0.825,0.388,2.26375193053502e-146,"2","hg19-HINT2"
"hg19-TNFAIP81",4.77980170974612e-150,0.257718203002275,0.585,0.2,8.64761725327269e-146,"2","hg19-TNFAIP8"
"hg19-PFKL",1.63672900537562e-149,0.331000659914272,0.791,0.347,2.96117011652557e-145,"2","hg19-PFKL"
"hg19-DNPEP",2.95659829010244e-149,0.299805805725018,0.73,0.295,5.34907762645334e-145,"2","hg19-DNPEP"
"hg19-SH3GLB1",5.65887261302592e-149,0.459894341020196,0.962,0.678,1.02380323314865e-144,"2","hg19-SH3GLB1"
"hg19-UBE2G2",7.57841306566711e-149,0.338332484866167,0.794,0.348,1.37108649184049e-144,"2","hg19-UBE2G2"
"hg19-IRS21",1.12843956303175e-148,0.334532240741088,0.727,0.305,2.04157285743705e-144,"2","hg19-IRS2"
"hg19-CKS1B",3.87842576930739e-148,0.337877729948037,0.833,0.395,7.01684790183093e-144,"2","hg19-CKS1B"
"hg19-UROS",3.95642712459601e-148,0.474124189387836,0.977,0.769,7.15796795381911e-144,"2","hg19-UROS"
"hg19-NEAT1",5.05963541753522e-148,0.482783960035735,0.999,0.994,9.15389239740472e-144,"2","hg19-NEAT1"
"hg19-UHMK1",1.47293489757298e-147,0.317860046598651,0.751,0.316,2.66483381668904e-143,"2","hg19-UHMK1"
"hg19-SMARCD2",3.79050175521002e-147,0.30322919491185,0.753,0.308,6.85777577552596e-143,"2","hg19-SMARCD2"
"hg19-MAT2A",2.29937293145546e-146,0.401572236338894,0.835,0.404,4.16002550758921e-142,"2","hg19-MAT2A"
"hg19-PCYOX11",2.78108214529893e-146,0.410432654841551,0.93,0.506,5.03153381727482e-142,"2","hg19-PCYOX1"
"hg19-MAPK12",8.05147591073071e-146,0.275769692468627,0.663,0.253,1.4566730217694e-141,"2","hg19-MAPK12"
"hg19-PTPRG1",8.21385733351597e-146,0.314916241493703,0.709,0.294,1.48605106877971e-141,"2","hg19-PTPRG"
"hg19-MRPL34",3.59806252023252e-145,0.427609927314209,0.909,0.519,6.50961471160468e-141,"2","hg19-MRPL34"
"hg19-NDUFB91",3.94536575374645e-145,0.477906448359712,0.957,0.672,7.13795572167808e-141,"2","hg19-NDUFB9"
"hg19-PICALM",7.70612958321837e-145,0.405076275853594,0.896,0.485,1.39419296419587e-140,"2","hg19-PICALM"
"hg19-SCO2",1.3954091925604e-144,0.265587903308242,0.682,0.262,2.52457431118027e-140,"2","hg19-SCO2"
"hg19-SQLE",3.46026593688048e-143,0.350968973286404,0.759,0.338,6.26031313300416e-139,"2","hg19-SQLE"
"hg19-NAA50",7.86546152744724e-143,0.320861363338192,0.797,0.353,1.42301929954575e-138,"2","hg19-NAA50"
"hg19-PSMD8",1.11456186087661e-142,0.4513183235473,0.965,0.661,2.01646531869797e-138,"2","hg19-PSMD8"
"hg19-NDUFS7",1.45762926506935e-142,0.390120687052318,0.851,0.429,2.63714286636347e-138,"2","hg19-NDUFS7"
"hg19-ATP5I",1.64089167199008e-142,0.43197183480411,0.999,0.97,2.96870121296445e-138,"2","hg19-ATP5I"
"hg19-KIF5B",4.16070656656805e-142,0.450106100290932,0.959,0.645,7.52755032023491e-138,"2","hg19-KIF5B"
"hg19-MRPL42",6.05834089829185e-142,0.255873815934982,0.592,0.213,1.09607503531896e-137,"2","hg19-MRPL42"
"hg19-C14orf1",2.1327258347031e-141,0.322397658523548,0.738,0.323,3.85852758014484e-137,"2","hg19-C14orf1"
"hg19-ATP5F1",5.08447357622664e-141,0.431660610254421,0.964,0.66,9.19882959410924e-137,"2","hg19-ATP5F1"
"hg19-ECHS1",1.10829614836796e-140,0.38551839813357,0.761,0.356,2.00512939162731e-136,"2","hg19-ECHS1"
"hg19-MRPL37",1.64082139793723e-140,0.393223358251854,0.875,0.48,2.96857407314804e-136,"2","hg19-MRPL37"
"hg19-BAG1",6.60241558152692e-140,0.351229640445224,0.827,0.393,1.19450902700985e-135,"2","hg19-BAG1"
"hg19-PSMD3",1.99981937697146e-138,0.281222185246634,0.691,0.282,3.61807321681676e-134,"2","hg19-PSMD3"
"hg19-GHITM",2.82466098269985e-138,0.402142273142941,0.936,0.574,5.11037664990057e-134,"2","hg19-GHITM"
"hg19-AKT2",9.11747105146794e-138,0.290415328705394,0.715,0.3,1.64953286263158e-133,"2","hg19-AKT2"
