"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mm10-Stra131",3.83599343252721e-35,0.348034186838833,0.921,0.734,5.94924221450645e-31,"2","mm10-Stra13"
"mm10-Ccne1",4.57890683242256e-35,0.266264089423955,0.686,0.371,7.10142660640414e-31,"2","mm10-Ccne1"
"mm10-Armc1",8.35835712037156e-35,0.338386133535462,0.834,0.569,1.29629760579843e-30,"2","mm10-Armc1"
"mm10-Zfp207",8.76641578738716e-35,0.335960794356128,0.884,0.623,1.35958342446587e-30,"2","mm10-Zfp207"
"mm10-Zeb21",1.02479783051239e-34,0.313864287186503,0.825,0.498,1.58935895534166e-30,"2","mm10-Zeb2"
"mm10-Sypl",1.24468833147494e-34,0.333475285344044,0.891,0.642,1.93038713328449e-30,"2","mm10-Sypl"
"mm10-Gcsh1",1.24517749028153e-34,0.352939518963757,0.945,0.809,1.93114576967762e-30,"2","mm10-Gcsh"
"mm10-Zbtb201",1.38958008825464e-34,0.358507029005862,0.865,0.572,2.15509975887413e-30,"2","mm10-Zbtb20"
"mm10-Mycbp",1.44804177009589e-34,0.270021680772098,0.727,0.423,2.24576798124171e-30,"2","mm10-Mycbp"
"mm10-Vegfb1",1.79875423716495e-34,0.311273801206516,0.884,0.592,2.78968794641912e-30,"2","mm10-Vegfb"
"mm10-Cox17",2.32244066636201e-34,0.365163131440974,0.985,0.896,3.60187322946084e-30,"2","mm10-Cox17"
"mm10-Gt(ROSA)26Sor",2.70264365216933e-34,0.34116377404523,0.882,0.627,4.19153004014942e-30,"2","mm10-Gt(ROSA)26Sor"
"mm10-Rcl1",4.70038051026492e-34,0.281882258701479,0.714,0.422,7.28982013336987e-30,"2","mm10-Rcl1"
"mm10-Mrpl41",4.73434918847117e-34,0.35262582254768,0.808,0.57,7.34250215639994e-30,"2","mm10-Mrpl41"
"mm10-Mrpl14",5.69792264690389e-34,0.319745316867186,0.983,0.965,8.83690823308325e-30,"2","mm10-Mrpl14"
"mm10-Ddx51",6.92602278055664e-34,0.360305882077657,0.989,0.898,1.07415687303653e-29,"2","mm10-Ddx5"
"mm10-Ugp2",7.66920043303166e-34,0.301992752730455,0.814,0.503,1.18941629515888e-29,"2","mm10-Ugp2"
"mm10-Hnrnpu",8.76421765084906e-34,0.368521298134939,0.91,0.713,1.35924251547018e-29,"2","mm10-Hnrnpu"
"mm10-Cox19",1.14095362272729e-33,0.353860327552039,0.838,0.625,1.76950497348776e-29,"2","mm10-Cox19"
"mm10-Eci1",1.70570845903048e-33,0.378572325532214,0.753,0.528,2.64538324911037e-29,"2","mm10-Eci1"
"mm10-Mmadhc",1.98447548132612e-33,0.300337403744899,0.83,0.544,3.07772302398868e-29,"2","mm10-Mmadhc"
"mm10-Slc35a4",2.25973139939584e-33,0.300289723933543,0.782,0.489,3.50461742732301e-29,"2","mm10-Slc35a4"
"mm10-Cyp51",3.72409740392344e-33,0.398389225107532,0.507,0.245,5.77570266374486e-29,"2","mm10-Cyp51"
"mm10-Il17rc",3.89449357051242e-33,0.299409459616577,0.745,0.44,6.03997007850771e-29,"2","mm10-Il17rc"
"mm10-Rbpms",4.81306017272385e-33,0.390277305048289,0.71,0.452,7.46457502187742e-29,"2","mm10-Rbpms"
"mm10-Acat1",5.40249509444202e-33,0.357126746640914,0.795,0.543,8.37872964197013e-29,"2","mm10-Acat1"
"mm10-Srsf1",5.57731715112879e-33,0.38592824740738,0.838,0.628,8.64986116968564e-29,"2","mm10-Srsf1"
"mm10-Eif4ebp11",5.69503955878666e-33,0.45325797054185,0.991,0.973,8.83243685172223e-29,"2","mm10-Eif4ebp1"
"mm10-Hspb8",5.8441515214829e-33,0.298279759990876,0.611,0.338,9.06369459466783e-29,"2","mm10-Hspb8"
"mm10-Uqcrc11",6.13012462160115e-33,0.51879744432196,0.928,0.756,9.50721027564123e-29,"2","mm10-Uqcrc1"
"mm10-Fyttd1",6.25209076246632e-33,0.305609668898985,0.823,0.545,9.69636756350902e-29,"2","mm10-Fyttd1"
"mm10-Zfand6",6.60682053830088e-33,0.28279431035819,0.734,0.433,1.02465179728508e-28,"2","mm10-Zfand6"
"mm10-Gm14698",8.17155232062536e-33,0.250927290159282,0.705,0.4,1.26732604940579e-28,"2","mm10-Gm14698"
"mm10-Mob4",1.22465753048674e-32,0.332341732766733,0.825,0.574,1.89932136403189e-28,"2","mm10-Mob4"
"mm10-Gm13010",1.8034793604205e-32,0.351304187103503,0.801,0.556,2.79701614007616e-28,"2","mm10-Gm13010"
"mm10-Zfp106",2.01206488118191e-32,0.341923229441851,0.871,0.592,3.12051142422503e-28,"2","mm10-Zfp106"
"mm10-Lmo4",2.48985135846652e-32,0.470193425340298,0.948,0.802,3.86151047184572e-28,"2","mm10-Lmo4"
"mm10-Btf3l41",2.58693958813356e-32,0.336377186161389,0.921,0.766,4.01208460723634e-28,"2","mm10-Btf3l4"
"mm10-Ndufa10",3.13745356162966e-32,0.347704910859712,0.908,0.77,4.86587672873143e-28,"2","mm10-Ndufa10"
"mm10-Samm50",3.17105375519986e-32,0.445632009111828,0.758,0.538,4.91798726893946e-28,"2","mm10-Samm50"
"mm10-Mrps51",3.83843119748047e-32,0.333166691489386,0.897,0.683,5.95302294417246e-28,"2","mm10-Mrps5"
"mm10-Nhp21",3.97087821281061e-32,0.505771097306306,0.967,0.907,6.15843502024797e-28,"2","mm10-Nhp2"
"mm10-Trip121",4.82557590774031e-32,0.252311183327749,0.705,0.393,7.48398567531445e-28,"2","mm10-Trip12"
"mm10-Lin7c",5.27992511868623e-32,0.252299829166447,0.758,0.445,8.18863586657047e-28,"2","mm10-Lin7c"
